Orthogroup	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func	Sp7498_pacbio.protein
OG0000021	wa7733.asm1v1.ann1.run1_010239_1, wa7733.asm1v1.ann1.run1_012957_1, wa7733.asm1v1.ann1.run1_003738_1, wa7733.asm1v1.ann1.run1_005176_1, wa7733.asm1v1.ann1.run1_005175_1, wa7733.asm1v1.ann1.run1_014336_1, wa7733.asm1v1.ann1.run1_005173_1, wa7733.asm1v1.ann1.run1_013664_1, wa7733.asm1v1.ann1.run1_014264_1, wa7733.asm1v1.ann1.run1_013167_1, wa7733.asm1v1.ann1.run1_013168_1, wa7733.asm1v1.ann1.run1_014037_1, wa7733.asm1v1.ann1.run1_003735_1, wa7733.asm1v1.ann1.run1_003751_1	g15252.t1
OG0000023	wa7733.asm1v1.ann1.run1_009191_1	g6786.t1
OG0000023	wa7733.asm1v1.ann1.run1_003589_1	g13310.t1
OG0000023	wa7733.asm1v1.ann1.run1_002500_1	g5066.t1
OG0000023	wa7733.asm1v1.ann1.run1_006307_1	g5869.t1
OG0000023	wa7733.asm1v1.ann1.run1_009200_1	g6716.t1
OG0000024	wa7733.asm1v1.ann1.run1_012312_1, wa7733.asm1v1.ann1.run1_012316_1	g9164.t1
OG0000024	wa7733.asm1v1.ann1.run1_008892_1, wa7733.asm1v1.ann1.run1_008891_1, wa7733.asm1v1.ann1.run1_008890_1, wa7733.asm1v1.ann1.run1_008889_1, wa7733.asm1v1.ann1.run1_015106_1, wa7733.asm1v1.ann1.run1_008893_1, wa7733.asm1v1.ann1.run1_015201_1, wa7733.asm1v1.ann1.run1_007880_1, wa7733.asm1v1.ann1.run1_007881_1	g776.t1
OG0000025	wa7733.asm1v1.ann1.run1_009720_1, wa7733.asm1v1.ann1.run1_015085_1, wa7733.asm1v1.ann1.run1_012966_1, wa7733.asm1v1.ann1.run1_015084_1, wa7733.asm1v1.ann1.run1_012015_1, wa7733.asm1v1.ann1.run1_012014_1, wa7733.asm1v1.ann1.run1_012971_1, wa7733.asm1v1.ann1.run1_012972_1, wa7733.asm1v1.ann1.run1_012969_1, wa7733.asm1v1.ann1.run1_012970_1, wa7733.asm1v1.ann1.run1_012968_1	g11908.t1, g11906.t1, g11914.t1, g11917.t1, g11903.t1, g11919.t1, g11916.t1, g11904.t1, g11912.t1, g11911.t1, g11910.t1, g11915.t1, g11907.t1, g11905.t1, g11901.t1
OG0000026	wa7733.asm1v1.ann1.run1_006159_1	g8962.t1
OG0000026	wa7733.asm1v1.ann1.run1_010524_1	g526.t1
OG0000026	wa7733.asm1v1.ann1.run1_012889_1	g15867.t1, g14911.t1
OG0000026	wa7733.asm1v1.ann1.run1_008173_1	g14155.t1
OG0000027	wa7733.asm1v1.ann1.run1_001926_1	g12189.t1
OG0000027	wa7733.asm1v1.ann1.run1_006799_1	g6226.t1
OG0000027	wa7733.asm1v1.ann1.run1_011084_1, wa7733.asm1v1.ann1.run1_007750_1	g2525.t1
OG0000027	wa7733.asm1v1.ann1.run1_003904_1	g13195.t1, g19308.t1, g5176.t1
OG0000028	wa7733.asm1v1.ann1.run1_013606_1	g3019.t1
OG0000028	wa7733.asm1v1.ann1.run1_010362_2, wa7733.asm1v1.ann1.run1_010362_1	g6501.t1
OG0000028	wa7733.asm1v1.ann1.run1_009987_2, wa7733.asm1v1.ann1.run1_009987_1	g12853.t1
OG0000028	wa7733.asm1v1.ann1.run1_003397_1	g10443.t1
OG0000029	wa7733.asm1v1.ann1.run1_006857_1, wa7733.asm1v1.ann1.run1_006395_1, wa7733.asm1v1.ann1.run1_002934_1, wa7733.asm1v1.ann1.run1_013396_1, wa7733.asm1v1.ann1.run1_000596_1, wa7733.asm1v1.ann1.run1_010101_1, wa7733.asm1v1.ann1.run1_009708_1, wa7733.asm1v1.ann1.run1_009664_1, wa7733.asm1v1.ann1.run1_004722_1, wa7733.asm1v1.ann1.run1_014495_1, wa7733.asm1v1.ann1.run1_005223_1, wa7733.asm1v1.ann1.run1_001210_1, wa7733.asm1v1.ann1.run1_006576_1, wa7733.asm1v1.ann1.run1_015200_1, wa7733.asm1v1.ann1.run1_005303_1, wa7733.asm1v1.ann1.run1_012942_1, wa7733.asm1v1.ann1.run1_004722_2, wa7733.asm1v1.ann1.run1_001237_1, wa7733.asm1v1.ann1.run1_004391_1, wa7733.asm1v1.ann1.run1_008885_1, wa7733.asm1v1.ann1.run1_007832_1	g14631.t1
OG0000030	wa7733.asm1v1.ann1.run1_012923_1	g17465.t1
OG0000030	wa7733.asm1v1.ann1.run1_011342_1	g1068.t1, g16087.t1
OG0000030	wa7733.asm1v1.ann1.run1_010275_1	g11477.t1, g2588.t1
OG0000030	wa7733.asm1v1.ann1.run1_012789_1	g7315.t1, g13978.t1, g18863.t1, g18904.t1
OG0000031	wa7733.asm1v1.ann1.run1_007465_1	g16109.t1
OG0000031	wa7733.asm1v1.ann1.run1_012407_1	g1085.t1
OG0000031	wa7733.asm1v1.ann1.run1_000001_1	g3187.t1
OG0000031	wa7733.asm1v1.ann1.run1_000806_1	g15029.t1
OG0000031	wa7733.asm1v1.ann1.run1_010604_1	g17420.t1
OG0000032	wa7733.asm1v1.ann1.run1_007544_1	g14868.t1
OG0000032	wa7733.asm1v1.ann1.run1_001516_1	g18277.t1, g18276.t1
OG0000032	wa7733.asm1v1.ann1.run1_013641_1	g18475.t1
OG0000032	wa7733.asm1v1.ann1.run1_001573_1	g4006.t1
OG0000032	wa7733.asm1v1.ann1.run1_001842_1, wa7733.asm1v1.ann1.run1_001842_2	g9530.t1
OG0000033	wa7733.asm1v1.ann1.run1_010473_1	g16748.t1
OG0000033	wa7733.asm1v1.ann1.run1_008863_1	g17146.t1
OG0000033	wa7733.asm1v1.ann1.run1_000674_1	g11404.t1
OG0000033	wa7733.asm1v1.ann1.run1_007124_1	g6110.t1
OG0000033	wa7733.asm1v1.ann1.run1_009501_1	g18348.t1
OG0000033	wa7733.asm1v1.ann1.run1_009076_1	g10970.t1
OG0000034	wa7733.asm1v1.ann1.run1_008815_1, wa7733.asm1v1.ann1.run1_008817_1, wa7733.asm1v1.ann1.run1_008822_1, wa7733.asm1v1.ann1.run1_008819_1, wa7733.asm1v1.ann1.run1_013567_1, wa7733.asm1v1.ann1.run1_006597_1, wa7733.asm1v1.ann1.run1_005522_1, wa7733.asm1v1.ann1.run1_006596_1, wa7733.asm1v1.ann1.run1_008821_1	g18771.t1, g18768.t1
OG0000035	wa7733.asm1v1.ann1.run1_012749_1	g7448.t1
OG0000035	wa7733.asm1v1.ann1.run1_010791_1, wa7733.asm1v1.ann1.run1_014500_1	g5149.t1, g21.t1, g14166.t1, g15243.t1, g15242.t1, g14165.t1
OG0000036	wa7733.asm1v1.ann1.run1_012093_1, wa7733.asm1v1.ann1.run1_003972_1, wa7733.asm1v1.ann1.run1_001863_1, wa7733.asm1v1.ann1.run1_004960_1, wa7733.asm1v1.ann1.run1_008776_1	g1859.t1
