Orthogroup	wa8730.asm201904v2.ann1.proteins	Sp9509_oxford_v3.proteins
OG0000026	Wa8730a004g007190_P001	Sp19g00300
OG0000026	Wa8730a004g000680_P001	Sp13g00411
OG0000026	Wa8730a016g003670_P001	Sp11g00163, Sp18g00231
OG0000026	Wa8730a015g001400_P001	Sp12g00765
OG0000027	Wa8730a003g006110_P001	Sp14g00364
OG0000028	Wa8730a012g004390_P001	Sp07g00938
OG0000028	Wa8730a006g004020_P001, Wa8730a006g000600_P002, Wa8730a006g000600_P001, Wa8730a008g004250_P001, Wa8730a008g004250_P002	Sp17g00289
OG0000029	Wa8730a016g001400_P001	Sp18g00519
OG0000030	Wa8730a002g009650_P001	Sp02g00156
OG0000030	Wa8730a003g008590_P001	Sp08g01087, Sp03g01311
OG0000030	Wa8730a012g000980_P001	Sp04g00298
OG0000030	Wa8730a001g008960_P001	Sp12g00579, Sp15g00178
OG0000031	Wa8730a003g008300_P001	Sp03g01283
OG0000031	Wa8730a005g001670_P001	Sp08g01067
OG0000031	Wa8730a012g005400_P001	Sp07g01101
OG0000031	Wa8730a016g004350_P001	Sp18g00114
OG0000031	Wa8730a002g009240_P001	Sp02g00201
OG0000032	Wa8730a016g003190_P001	Sp18g00276
OG0000032	Wa8730a002g002970_P001	Sp13g00098, Sp13g00099
OG0000032	Wa8730a002g001780_P001	Sp02g01052
OG0000032	Wa8730a001g003780_P001	Sp01g01000
OG0000032	Wa8730a014g005910_P001	Sp09g00270
OG0000033	Wa8730a003g003690_P001	Sp03g00591
OG0000033	Wa8730a003g000940_P001	Sp03g00193
OG0000033	Wa8730a007g006610_P001	Sp04g00376
OG0000033	Wa8730a017g001960_P001, Wa8730a002g002310_P001	Sp20g00337, Sp13g00030
OG0000034	Wa8730a010g003510_P001, Wa8730a010g003380_P001, Wa8730a010g003540_P001, Wa8730a010g003550_P001, Wa8730a010g003410_P001, Wa8730a010g003520_P001, Wa8730a010g003390_P001, Wa8730a005g007230_P001, Wa8730a005g008430_P001, Wa8730a005g007240_P001, Wa8730a005g007250_P001	Sp15g00063
OG0000035	Wa8730a010g006410_P001	Sp05g00988
OG0000035	Wa8730a004g004340_P001, Wa8730a004g004280_P001	Sp10g00275, Sp13g00990, Sp12g00779, Sp11g00881, Sp11g00883, Sp11g00882, Sp10g00276, Sp12g00778
OG0000036	Wa8730a016g000590_P001	Sp18g00637
OG0000036	Wa8730a014g006110_P001, Wa8730a018g000430_P001, Wa8730a001g011460_P001	Sp01g01661
OG0000036	Wa8730a004g008140_P001	Sp13g00640, Sp19g00100
OG0000037	Wa8730a004g002340_P001	Sp13g00546
OG0000037	Wa8730a004g002330_P001	Sp13g00547
OG0000037	Wa8730a005g003060_P001	Sp08g00848
OG0000038	Wa8730a007g001410_P001	Sp16g00116
OG0000038	Wa8730a007g008070_P001	Sp04g00160
OG0000038	Wa8730a009g007070_P001	Sp01g00032
OG0000038	Wa8730a003g006220_P001	Sp03g00958
OG0000038	Wa8730a011g002080_P001	Sp11g00357
OG0000039	Wa8730a006g004370_P001, Wa8730a006g004140_P001, Wa8730a004g004290_P001, Wa8730a006g004350_P001, Wa8730a006g004340_P001, Wa8730a006g004360_P001	Sp16g00159
OG0000041	Wa8730a020g001380_P001	Sp10g00262
OG0000041	Wa8730a001g003070_P001	Sp01g00888
