Orthogroup	wa8730.asm201904v2.ann1.proteins	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func
OG0000004	Wa8730a014g001620_P001	wa7733.asm1v1.ann1.run1_015071_1, wa7733.asm1v1.ann1.run1_015018_1, wa7733.asm1v1.ann1.run1_000936_1
OG0000004	Wa8730a009g003160_P001	wa7733.asm1v1.ann1.run1_008251_1
OG0000004	Wa8730a009g003150_P001	wa7733.asm1v1.ann1.run1_008253_1
OG0000004	Wa8730a009g003140_P001	wa7733.asm1v1.ann1.run1_008250_1
OG0000004	Wa8730a009g003220_P001	wa7733.asm1v1.ann1.run1_008258_1
OG0000004	Wa8730a014g002180_P001	wa7733.asm1v1.ann1.run1_000884_1
OG0000004	Wa8730a014g002170_P001	wa7733.asm1v1.ann1.run1_000885_1
OG0000004	Wa8730a012g005020_P001	wa7733.asm1v1.ann1.run1_000039_1
OG0000004	Wa8730a014g002160_P001	wa7733.asm1v1.ann1.run1_000886_1, wa7733.asm1v1.ann1.run1_000887_1
OG0000004	Wa8730a011g004170_P001, Wa8730a011g004180_P001	wa7733.asm1v1.ann1.run1_014942_1
OG0000005	Wa8730a003g001160_P001	wa7733.asm1v1.ann1.run1_007385_1
OG0000005	Wa8730a001g006440_P001	wa7733.asm1v1.ann1.run1_002984_1
OG0000005	Wa8730a001g010590_P001	wa7733.asm1v1.ann1.run1_013638_1, wa7733.asm1v1.ann1.run1_002993_1, wa7733.asm1v1.ann1.run1_015020_1, wa7733.asm1v1.ann1.run1_015021_1
OG0000005	Wa8730a002g010020_P001	wa7733.asm1v1.ann1.run1_011806_1
OG0000005	Wa8730a001g011430_P001	wa7733.asm1v1.ann1.run1_008779_1, wa7733.asm1v1.ann1.run1_010699_1
OG0000005	Wa8730a003g000890_P001	wa7733.asm1v1.ann1.run1_008859_1
OG0000005	Wa8730a003g001150_P001	wa7733.asm1v1.ann1.run1_015080_1
OG0000005	Wa8730a00Ug000080_P001	wa7733.asm1v1.ann1.run1_014791_1, wa7733.asm1v1.ann1.run1_015208_1, wa7733.asm1v1.ann1.run1_015044_1, wa7733.asm1v1.ann1.run1_014792_1, wa7733.asm1v1.ann1.run1_014793_1, wa7733.asm1v1.ann1.run1_015045_1, wa7733.asm1v1.ann1.run1_015031_1, wa7733.asm1v1.ann1.run1_007344_1
OG0000005	Wa8730a005g005430_P001	wa7733.asm1v1.ann1.run1_006270_1
OG0000006	Wa8730a014g006020_P001	wa7733.asm1v1.ann1.run1_001854_1
OG0000006	Wa8730a020g000300_P001	wa7733.asm1v1.ann1.run1_007734_1
OG0000006	Wa8730a002g000770_P001	wa7733.asm1v1.ann1.run1_006908_1
OG0000006	Wa8730a001g004420_P001	wa7733.asm1v1.ann1.run1_001644_1
OG0000006	Wa8730a010g001680_P001	wa7733.asm1v1.ann1.run1_007332_1
OG0000006	Wa8730a003g004290_P001	wa7733.asm1v1.ann1.run1_004542_1
OG0000006	Wa8730a001g007000_P001	wa7733.asm1v1.ann1.run1_002931_1
OG0000007	Wa8730a003g002300_P001	wa7733.asm1v1.ann1.run1_004720_1
OG0000007	Wa8730a002g004580_P001	wa7733.asm1v1.ann1.run1_002276_1
OG0000007	Wa8730a016g004710_P001	wa7733.asm1v1.ann1.run1_000839_1
OG0000007	Wa8730a016g004250_P001	wa7733.asm1v1.ann1.run1_000794_1
OG0000007	Wa8730a014g004920_P001	wa7733.asm1v1.ann1.run1_008065_1
